Resource Name,Min_NonZero_TPO_Price,Max_TPO_Price
AEEC_ELK_1,0.44,414.77
AEEC_ELK_2,0.28,412.46
AEEC_ELK_3,0.24,401.96
ATKINS_ATKINSG7,18.88,4500.0
AZ_AZ_G1,13.45,100.67
AZ_AZ_G2,13.45,100.67
AZ_AZ_G3,13.45,100.67
AZ_AZ_G4,13.45,100.67
BAC_CTG1,19.24,141.49
BAC_CTG2,19.24,141.49
BAC_CTG3,19.24,141.49
BAC_CTG4,19.24,141.49
BAC_CTG5,19.24,141.49
BAC_CTG6,19.24,141.49
BASTEN_CC1_1,9.68,177.02
BASTEN_CC1_2,1.52,250.01
BCH_UNIT1,8.24,5000.0
BCH_UNIT2,8.24,5000.0
BCH_UNIT3,8.24,5000.0
BCH_UNIT4,8.24,5000.0
BCH_UNIT5,8.24,5000.0
BCH_UNIT6,8.24,5000.0
BOSQUESW_CC1_1,8.04,75.0
BOSQUESW_CC1_2,6.35,77.18
BOSQUESW_CC2_1,9.55,75.0
BOSQUESW_CC2_2,12.19,75.0
BOSQUESW_CC2_3,8.64,75.0
BOSQUESW_CC2_4,7.82,113.63
BRAUNIG_CC1_1,0.8,110.02
BRAUNIG_CC1_2,0.2,110.03
BRAUNIG_VHB1,9.42,250.0
BRAUNIG_VHB2,0.5,250.0
BRAUNIG_VHB3,0.03,140.03
BRAUNIG_VHB6CT5,9.95,201.36
BRAUNIG_VHB6CT6,9.95,200.01
BRAUNIG_VHB6CT7,9.95,200.01
BRAUNIG_VHB6CT8,9.95,200.01
BTE_CC1_3,7.82,23.29
BTE_CC1_4,5.71,75.0
BTE_CC1_6,5.71,173.85
BTM_UNIT1,2.45,5000.0
BTM_UNIT2,4.9,5000.0
BTM_UNIT3,2.45,5000.0
BTM_UNIT4,4.02,5000.0
BTM_UNIT5,2.45,5000.0
BTM_UNIT6,2.45,5000.0
BTM_UNIT7,2.45,5000.0
BTM_UNIT8,2.45,5000.0
BVE_CC1_1,3.9,75.0
BVE_CC1_2,4.15,79.88
BYU_CC1_2,7.06,17.04
BYU_CC1_3,6.01,23.66
BYU_CC1_4,7.31,5000.0
B_DAVIS_B_DAVIG1,1.0,5000.0
B_DAVIS_CC1_1,0.1,5000.0
B_DAVIS_CC1_2,0.01,5000.0
CALAVERS_OWS1,0.03,250.0
CALAVERS_OWS2,5.0,250.0
CALHOUN_UNIT1,8.1,1000.0
CALHOUN_UNIT2,13.1,1000.0
CAL_CC1_1,11.62,26.9
CAL_CC1_2,6.16,143.16
CBECII_CC3_1,3.23,27.8
CBECII_CC3_2,5.36,75.0
CBEC_CC1_1,3.53,36.77
CBEC_CC1_2,5.02,200.0
CBEC_CC2_1,4.75,35.45
CBEC_CC2_2,5.07,200.0
CBEC_GT11,28.17,28.18
CBEC_GT12,28.17,28.18
CBY4_CC1_2,10.87,74.59
CBY4_CC1_4,11.43,67.82
CBY_CBY_G1,6.58,87.83
CBY_CBY_G2,11.75,103.0
CCEC_CC1_1,5.79,79.99
CCEC_CC1_2,7.96,102.13
CCEC_CC1_4,5.28,162.54
