DeliveryDate,HourEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,SystemTotal,Model,InUseFlag,DSTFlag
05/05/2025,1:00,11333.4678,1352.6541,7189.8599,1446.5706,10421.8652,7157.5513,3647.4155,1269.0168,43818.4012,A3,N,N
05/05/2025,1:00,11379.8408,1260.433,7120.5117,1440.1838,10374.7559,7092.5278,3525.8618,1306.9407,43501.0555,A6,N,N
05/05/2025,1:00,11625.2998,1290.98,7067.3799,1527.05,10810.2002,7014.3999,3651.01,1220.61,44206.9298,E,N,N
05/05/2025,1:00,11639.2998,1288.4,7063.1499,1533.26,10779.5996,7037.8999,3700.5,1237.39,44279.4992,E1,N,N
05/05/2025,1:00,11585,1288.46,7046.5801,1531.27,10798.0996,7022.52,3690.77,1242.34,44205.0397,E2,N,N
05/05/2025,1:00,11592,1289.7,7065.96,1531.87,10807.2998,7005.6299,3688.6799,1233.13,44214.2696,E3,N,N
05/05/2025,1:00,11610.4004,1289.385,7060.7676,1530.8625,10798.7998,7020.1123,3682.7397,1233.3674,44226.4347,M,Y,N
05/05/2025,1:00,11706.2998,1301.33,7161.71,1519.5,10772.7002,6999.6001,3754.0601,1254.9,44470.1002,X,N,N
05/05/2025,2:00,10938.8008,1264.2133,7143.0259,1448.316,9905.0957,6667.3726,3568.6338,1233.3846,42168.8427,A3,N,N
05/05/2025,2:00,11066.2744,1201.7601,7117.7954,1426.3381,9842.1211,6646.272,3444.1563,1258.667,42003.3844,A6,N,N
05/05/2025,2:00,11151.7002,1232.0699,7052.8799,1486.39,10279.5996,6644.8799,3469.46,1159.99,42476.9695,E,N,N
05/05/2025,2:00,11164.2002,1224.11,7039.5898,1485.25,10226.5,6723.3101,3549.71,1188.21,42600.8801,E1,N,N
05/05/2025,2:00,11093.5996,1225.33,7021.1602,1487.97,10308.2002,6666.1699,3527.52,1192.83,42522.7799,E2,N,N
05/05/2025,2:00,11107.5,1227.28,7047.8701,1482.95,10270.0996,6636.02,3529.1699,1179.0601,42479.9497,E3,N,N
05/05/2025,2:00,11129.25,1227.1975,7040.375,1485.6401,10271.0996,6667.5947,3518.9648,1180.0225,42520.1442,M,Y,N
05/05/2025,2:00,11414.7998,1258.0699,7187.54,1503.52,10182.7998,6557.4102,3681.02,1228.14,43013.2997,X,N,N
05/05/2025,3:00,10771.0107,1232.1851,7062.2114,1404.9529,9714.7998,6316.4546,3409.1335,1201.9657,41112.7137,A3,N,N
05/05/2025,3:00,10911.4531,1196.2397,6972.8921,1410.9523,9630.9326,6348.6421,3295.1248,1226.48,40992.7167,A6,N,N
05/05/2025,3:00,10791.4004,1188.53,7064.23,1432.3,9844.8096,6259.6001,3360.8799,1103.71,41045.46,E,N,N
05/05/2025,3:00,10909.0996,1192.03,7057.9199,1447.17,9881.5703,6408.7202,3463.73,1117.04,41477.28,E1,N,N
